business_name,niche,city,zone,original_phone,normalized_phone,phone_source,google_maps_url,website_url,instagram,source_confidence,source_issue,recommended_action
Clinica Dental Muelitas,Dental,Ciudad de México,Bosques,5572342564,525572342564,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Clinica%20Dental%20Muelitas%20Ciudad%20de%20M%C3%A9xico%20Bosques,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Clínica De Especialidades Dentales,Dental,Huixquilucan,Huixquilucan,5582841112,525582841112,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20De%20Especialidades%20Dentales%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
"Consultorio ""Estudio dental""",Dental,Huixquilucan,Huixquilucan,5529087101,525529087101,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20%22Estudio%20dental%22%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Alfa Y Omega,Dental,Huixquilucan,Huixquilucan,5547863775,525547863775,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Alfa%20Y%20Omega%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Cyty,Dental,Huixquilucan,Huixquilucan,5582840023,525582840023,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Cyty%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Garden,Dental,Huixquilucan,Huixquilucan,5580990629,525580990629,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Garden%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Integral,Dental,Huixquilucan,Huixquilucan,5522704039,525522704039,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Integral%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Jacarandas,Dental,Huixquilucan,Huixquilucan,5539440639,525539440639,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Jacarandas%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Kenco,Dental,Huixquilucan,Huixquilucan,5548072331,525548072331,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Kenco%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Tu Sonrisa,Dental,Huixquilucan,Huixquilucan,5591030575,525591030575,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Tu%20Sonrisa%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Unam,Dental,Huixquilucan,Huixquilucan,5519167672,525519167672,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Unam%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Velasco,Dental,Huixquilucan,Huixquilucan,5510090032,525510090032,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Velasco%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Dental Visu Dent,Dental,Huixquilucan,Huixquilucan,5564624882,525564624882,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Visu%20Dent%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Consultorio Y Estetica Dental,Dental,Huixquilucan,Huixquilucan,5582842977,525582842977,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Consultorio%20Y%20Estetica%20Dental%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Dental Aesthetics,Dental,Huixquilucan,Huixquilucan,5552950272,525552950272,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Dental%20Aesthetics%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
Dental Ali,Dental,Huixquilucan,Huixquilucan,5562055230,525562055230,OpenStreetMap public phone/contact:phone,https://www.google.com/maps/search/?api=1&query=Dental%20Ali%20Huixquilucan%20Huixquilucan,,,medium,valid_format_only_not_whatsapp_verified,Verificar manualmente en WhatsApp con wa.me sin mensaje antes de contactar.
