business_name,niche,city,zone,phone,normalized_phone,phone_status,website_status,website_url,source_url
Holiday Inn Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+52 81-8133 0808,528181330808,valid_format_only,Modern/official website found,https://www.ihg.com/holidayinn/hotels/us/en/monterrey/mtyzv/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-MX-_-MTYZV,https://www.openstreetmap.org/node/1430135981
Camino Real Monterrey,,San Pedro Garza García,San Pedro Garza García,"+52 855 266 5203;+52 800 718 0151 ""Reservaciones""",528552665203,valid_format_only,Modern/official website found,https://www.caminoreal.com/en/caminoreal/camino-real-monterrey,https://www.openstreetmap.org/node/1431037351
"MS Milenium Monterrey, Curio Collection by Hilton",,San Pedro Garza García,San Pedro Garza García,+52 81 8368 6000,528183686000,valid_format_only,Modern/official website found,https://www.hilton.com/en/hotels/mtymmqq-ms-milenium-monterrey/?SEO_id=GMB-AMER-QQ-MTYMMQQ&y_source=1_MTkxMjM4MzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.openstreetmap.org/node/1431037365
Quinta Real Monterrey,,San Pedro Garza García,San Pedro Garza García,+52 855 266 5203,528552665203,valid_format_only,Modern/official website found,https://www.caminoreal.com/en/quintareal/quinta-real-monterrey,https://www.openstreetmap.org/node/1431037373
Safi Valle,,San Pedro Garza García,San Pedro Garza García,+52 81 81007080,528181007080,valid_format_only,Modern/official website found,https://safihotel.com/en/safi-monterrey-valle/,https://www.openstreetmap.org/node/1431037404
Antaris Valle,,San Pedro Garza García,San Pedro Garza García,+52 81 8174 0000,528181740000,valid_format_only,Modern/official website found,https://hotelantaris.com/valle/,https://www.openstreetmap.org/node/1786771621
H-E-B,,San Pedro Garza García,San Pedro Garza García,+528181531190,528181531190,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/1786771623
NH Collection Monterrey San Pedro,,Monterrey,Monterrey,+52 81 81731800,528181731800,valid_format_only,Modern/official website found,https://www.nh-hotels.com/hotel/nh-collection-monterrey-san-pedro?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,https://www.openstreetmap.org/node/1786771624
Comfort Inn Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+52 818 133 5133,528181335133,valid_format_only,Modern/official website found,https://www.civalle.com/,https://www.openstreetmap.org/node/2643089204
Xoles Consultores,,San Pedro Garza García,San Pedro Garza García,+52 (81) 83.57.76.02,528183577602,valid_format_only,Modern/official website found,https://xoles.com/,https://www.openstreetmap.org/node/2786879414
Smile & Sense,Dental,San Pedro Garza García,San Pedro Garza García,01 81 8175 1705,,invalid_phone,Modern/official website found,https://keepsmiling.mx/,https://www.openstreetmap.org/node/3388952703
Hyundai CLEBER Valle Oriente,,San Pedro Garza García,La Diana,+528119707979,528119707979,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/4323723125
Boston Consulting Group,,San Pedro Garza García,San Pedro Garza García,+52 81 8368 6200,528183686200,valid_format_only,Modern/official website found,https://www.bcg.com/offices/monterrey/default.aspx,https://www.openstreetmap.org/node/6177133844
Station 24,,San Pedro Garza García,San Pedro Garza García,+52 81 1417 2639,528114172639,valid_format_only,Modern/official website found,https://station24.com.mx/,https://www.openstreetmap.org/node/6391937995
HEB,,San Pedro Garza García,San Pedro Garza García,+528181539675,528181539675,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/6391938028
Elevenminds,,San Pedro Garza García,San Pedro Garza García,018117396860,,invalid_phone,Modern/official website found,http://www.elevenminds.com,https://www.openstreetmap.org/node/6607215385
Sleepadent,Dental,San Pedro Garza García,San Pedro Garza García,8125579107,528125579107,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/7034525317
Tortillas Españolas Tillos,Restaurante boutique,San Pedro Garza García,San Pedro Garza García,+528136011179,528136011179,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/7463779193
Los Mokajetes Valle,,San Pedro Garza García,San Pedro Garza García,8181922000,528181922000,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/7464814847
Brasa,,San Pedro Garza García,Colonia Del Valle,+52 81 2074 6785,528120746785,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/7482826912
Grand Fiesta Americana Monterrey Valle,,Monterrey,Monterrey,+52 81 1646 7000,528116467000,valid_format_only,Modern/official website found,https://www.grandfiestamericana.com/hoteles-y-resorts/grand-fiesta-americana-monterrey-valle,https://www.openstreetmap.org/node/7511685156
CEMEX Corporativo Sede Internacional,,San Pedro Garza García,San Pedro Garza García,8188888888,528188888888,valid_format_only,Modern/official website found,https://www.cemex.com/,https://www.openstreetmap.org/node/7549757886
The Westin Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+52 812 713 3100,528127133100,valid_format_only,Modern/official website found,https://www.marriott.com/en-us/hotels/mtywi-the-westin-monterrey-valle/overview/,https://www.openstreetmap.org/node/7818237246
Mood Coffee,,San Pedro Garza García,San Pedro Garza García,8114097894,528114097894,valid_format_only,Only social/profile link found,https://www.instagram.com/moodcoffeemx,https://www.openstreetmap.org/node/9321164022
El Guayabo,,San Pedro Garza García,San Pedro Garza García,+5218125107257,528125107257,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/9321194917
Paper Spot,,San Pedro Garza García,San Pedro Garza García,8135461050,528135461050,valid_format_only,Only social/profile link found,https://www.instagram.com/paperspotoficial,https://www.openstreetmap.org/node/9321210417
HSBC,,San Pedro Garza García,San Pedro Garza García,8183366117,528183366117,valid_format_only,Modern/official website found,https://www.hsbc.com.mx/contacto/sucursales,https://www.openstreetmap.org/node/9321232517
Mendez Jr.,,San Pedro Garza García,San Pedro Garza García,+5218110933424,528110933424,valid_format_only,Only social/profile link found,https://www.facebook.com/mendezjrchicharroneria,https://www.openstreetmap.org/node/9321258917
Clicfood,,San Pedro Garza García,San Pedro Garza García,+5218135461366,528135461366,valid_format_only,Only social/profile link found,https://instagram.com/comidas_clicfood,https://www.openstreetmap.org/node/9321280417
El Guayabi,Restaurante boutique,San Pedro Garza García,San Pedro Garza García,8125107257,528125107257,valid_format_only,Only social/profile link found,http://www.facebook.com/elguayabomty,https://www.openstreetmap.org/node/9321296817
Mood Coffee,,San Pedro Garza García,San Pedro Garza García,8114097894,528114097894,valid_format_only,Only social/profile link found,https://www.instagram.com/moodcoffeemx,https://www.openstreetmap.org/node/9321300317
Clicfood,,San Pedro Garza García,San Pedro Garza García,8135461366,528135461366,valid_format_only,Only social/profile link found,https://www.instagram.com/comidas_clicfood,https://www.openstreetmap.org/node/9321319817
Tortas Bernal,,San Pedro Garza García,San Pedro Garza García,8110933430,528110933430,valid_format_only,Modern/official website found,https://www.tortasbernal.com/,https://www.openstreetmap.org/node/9321330817
LOCALIA,,San Pedro Garza García,San Pedro Garza García,8112549323,528112549323,valid_format_only,Modern/official website found,http://localital.mx/blog/,https://www.openstreetmap.org/node/9321949926
Centro de Capacitación y Reclutamiento 7 Eleven,,San Pedro Garza García,San Pedro Garza García,8183367259,528183367259,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/9325278317
Pre Star Casa de Empeño,,San Pedro Garza García,San Pedro Garza García,8183380754,528183380754,valid_format_only,Modern/official website found,https://www.grupoprestar.mx/,https://www.openstreetmap.org/node/9325278517
Fiesta Inn Monterrey Valley,,San Pedro Garza García,San Pedro Garza García,+528183991500,528183991500,valid_format_only,Modern/official website found,https://www.fiestainn.com/fiesta-inn-monterrey-valle,https://www.openstreetmap.org/node/9561419688
Ibis Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+528181335050,528181335050,valid_format_only,Modern/official website found,https://all.accor.com/hotel/3549/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,https://www.openstreetmap.org/node/9561467280
Novotel Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+528181338133,528181338133,valid_format_only,Modern/official website found,https://all.accor.com/hotel/3551/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,https://www.openstreetmap.org/node/9561468534
Safi Metropolitan,,San Pedro Garza García,San Pedro Garza García,+52 81 81007080,528181007080,valid_format_only,Modern/official website found,https://safihotel.com/safi-monterrey-metropolitan/,https://www.openstreetmap.org/node/9563203017
JW Marriott Hotel Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+52 81 8850 6700,528188506700,valid_format_only,Modern/official website found,https://www.marriott.com/en-us/hotels/mtyjw-jw-marriott-hotel-monterrey-valle/overview/,https://www.openstreetmap.org/node/9563223976
Hotel Auténtico,,San Pedro Garza García,San Pedro Garza García,+52 81 2525 3930,528125253930,valid_format_only,Modern/official website found,https://www.hotelesautentico.com/,https://www.openstreetmap.org/node/9563318647
Habita MTY.,,Monterrey,Monterrey,+52 55 5282 2199,525552822199,valid_format_only,Modern/official website found,https://www.hotelhabitamty.com/,https://www.openstreetmap.org/node/9563337255
Live Aqua Urban Resort Monterrey,,Monterrey,Monterrey,+52 81 1646 7000,528116467000,valid_format_only,Modern/official website found,https://www.liveaqua.com/hoteles-y-resorts/live-aqua-urban-resort-monterrey,https://www.openstreetmap.org/node/9563360828
Camino Real Fashion Drive Monterrey,,San Pedro Garza García,San Pedro Garza García,"+52 800 718 0151 ""Reservaciones""",528007180151,valid_format_only,Modern/official website found,https://www.caminoreal.com/caminoreal/camino-real-fashion-drive-monterrey,https://www.openstreetmap.org/node/9563381761
Holiday Inn Express & Suites Monterrey Valle,,San Pedro Garza García,San Pedro Garza García,+52 81 2222 6000,528122226000,valid_format_only,Modern/official website found,https://www.ihg.com/holidayinnexpress/hotels/us/en/monterrey/mtyrr/hoteldetail,https://www.openstreetmap.org/node/9563398149
3 Diez Living Suites,,San Pedro Garza García,San Pedro Garza García,+52  811 080 2218,528110802218,valid_format_only,Modern/official website found,https://www.3diezliving.com/,https://www.openstreetmap.org/node/9563566511
Zacatecas,,San Pedro Garza García,San Pedro Garza García,+52 818 676 8023,528186768023,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/9735980317
Sabino’s Bar New Generation,,San Pedro Garza García,San Pedro Garza García,8122356686,528122356686,valid_format_only,Only social/profile link found,https://www.facebook.com/SabinosBarNewGeneration,https://www.openstreetmap.org/node/9735980417
El Pollo Loco,,San Pedro Garza García,San Pedro Garza García,+52 812 189 4164,528121894164,valid_format_only,Modern/official website found,https://www.elpolloloco.com.mx/,https://www.openstreetmap.org/node/9737754121
TERTIUS,,San Pedro Garza García,San Pedro Garza García,8130405050,528130405050,valid_format_only,Modern/official website found,http://www.patrimonio.com.mx,https://www.openstreetmap.org/node/9798534218
Santacruz Estilistas,,San Pedro Garza García,San Pedro Garza García,+528180285642,528180285642,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/9915839196
La Frambuesa by Carlos,,San Pedro Garza García,San Pedro Garza García,8181929006,528181929006,valid_format_only,Modern/official website found,https://laframbuesabycarlos.com/,https://www.openstreetmap.org/node/9927198817
La Jugueria Del Centro,,San Pedro Garza García,San Pedro Garza García,8183388293,528183388293,valid_format_only,Modern/official website found,https://lajugueriadelcentro.com/,https://www.openstreetmap.org/node/9927219417
Sound Box Academy,,Nuevo León,Nuevo León,+528123160866,528123160866,valid_format_only,Modern/official website found,https://soundbox-academy-studios.negocio.site/,https://www.openstreetmap.org/node/10131103939
MacStore,,San Pedro Garza García,San Pedro Garza García,+52 81 2718 3086,528127183086,valid_format_only,Modern/official website found,https://www.macstoreonline.com.mx,https://www.openstreetmap.org/node/10585409308
GIA Motos,,San Pedro Garza García,San Pedro Garza García,8126277301,528126277301,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/10682222975
Carmin Floreria,,San Pedro Garza García,San Pedro Garza García,+52 818 338 7567,528183387567,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/10736500393
Chef Silvano,Restaurante boutique,San Pedro Garza García,San Pedro Garza García,+52 818 338 1371,528183381371,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/10738664512
Centro Estetico Integral,Clínica estética,San Pedro Garza García,San Pedro Garza García,+52 818 356 7264,528183567264,valid_format_only,Modern/official website found,http://www.cirujanoplastico.mx/,https://www.openstreetmap.org/node/10738720155
Dentalia,Dental,San Pedro Garza García,San Pedro Garza García,+52 800 003 3682,528000033682,valid_format_only,Modern/official website found,https://dentalia.com,https://www.openstreetmap.org/node/11156114387
Trek,,San Pedro Garza Garcia,San Pedro Garza Garcia,8183785876,528183785876,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/11339514452
Yama-To,Restaurante boutique,San Pedro Garza García,San Pedro Garza García,+52 81 8356 6559,528183566559,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/11480635519
Montesori Sierra Madre,,San Pedro Garza García,San Pedro Garza García,+528181246400,528181246400,valid_format_only,Modern/official website found,https://www.msm.edu.mx,https://www.openstreetmap.org/node/11529710207
Barba Negra,,San Pedro Garza García,Plaza Meridian,+528120915534,528120915534,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/11873001995
MacStore,,San Pedro Garza García,San Pedro Garza García,+52 81 1522 0908,528115220908,valid_format_only,Modern/official website found,https://www.macstoreonline.com.mx,https://www.openstreetmap.org/node/12059120517
Museo La Milarca,,San Pedro Garza García,Valle Oriente,+528116361215,528116361215,valid_format_only,Modern/official website found,https://museolamilarca.mx/,https://www.openstreetmap.org/node/12136277629
The Source,,San Pedro Garza García,Del Valle,+52 81 1251 8032,528112518032,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/12255901664
Kuchen Alta Repostería,,San Pedro Garza García,Del Valle,+528183351551,528183351551,valid_format_only,Modern/official website found,https://www.kuchenaltareposteria.com,https://www.openstreetmap.org/node/12445127052
Fotos Jasso,,San Pedro Garza García,Del Valle,+52 81 8338 1547,528183381547,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/12499368209
Imprento,,San Pedro Garza García,Del Valle,+52 81 8338 2022,528183382022,valid_format_only,Modern/official website found,https://imprento.com,https://www.openstreetmap.org/node/12499368213
POCACHI,,San Pedro Garza García,San Pedro Garza García,+528183561234,528183561234,valid_format_only,Modern/official website found,https://pocachi.com/,https://www.openstreetmap.org/node/12542871001
Ocho Hair Lab,,San Pedro Garza García,San Pedro Garza García,+528116153747,528116153747,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/12685899203
Williams Sonoma,,San Pedro Garza García,San Pedro Garza García,+52 81 8356 5496,528183565496,valid_format_only,Modern/official website found,https://www.williams-sonoma.com.mx/tienda/home,https://www.openstreetmap.org/node/13063071558
Cristal Joyas,,San Pedro Garza García,San Pedro Garza García,+52 81 1306 7265,528113067265,valid_format_only,Modern/official website found,https://cristaljoyas.com,https://www.openstreetmap.org/node/13063237386
West Elm,,San Pedro Garza García,San Pedro Garza García,+52 81 8378 2097,528183782097,valid_format_only,Modern/official website found,https://www.westelm.com.mx/tienda/home,https://www.openstreetmap.org/node/13119096818
Hertz,,San Pedro Garza García,San Pedro Garza García,+52 55 9128 9000,525591289000,valid_format_only,Modern/official website found,https://www.hertzmexico.com,https://www.openstreetmap.org/node/13119476646
Banana Republic,,San Pedro Garza García,San Pedro Garza García,+52 81 1306 7272,528113067272,valid_format_only,Modern/official website found,https://www.bananarepublic.com.mx/tienda/home,https://www.openstreetmap.org/node/13144689004
Pottery Barn,,San Pedro Garza García,San Pedro Garza García,+52 81 8335 1003,528183351003,valid_format_only,Modern/official website found,https://www.potterybarn.com.mx/tienda/home,https://www.openstreetmap.org/node/13188561021
Pottery Barn Kids,,San Pedro Garza García,San Pedro Garza García,+52 81 8335 1003,528183351003,valid_format_only,Modern/official website found,https://www.potterybarnkids.com.mx/tienda/home,https://www.openstreetmap.org/node/13188596169
Basanti,,San Pedro Garza García,Del Valle,+52 81 1409 7757,528114097757,valid_format_only,Modern/official website found,https://basanti.mx,https://www.openstreetmap.org/node/13427845257
Cerrajeria San Pedro,,San Pedro Garza García,San Pedro Garza García,+52 81 1969 8080;+52 81 1604 8790,528119698080,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/13461209453
Principal Afore,,San Pedro Garza García,San Pedro Garza García,+52 81 8056 4624,528180564624,valid_format_only,Modern/official website found,https://principal.com.mx/afore,https://www.openstreetmap.org/node/13479091841
