source_file,business_name,normalized_business_name,phone,normalized_phone,google_maps_url,website_url,instagram
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Medical Glamour Polanco,medical glamour polanco,525527634703,525527634703,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Dra. Shirley De Brito,dra shirley de brito,525514744809,525514744809,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,"Dentista Juriquilla, Querétaro",dentista juriquilla queretaro,525549438421,525549438421,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Dentar Odontología Integral y Ortodoncia,dentar odontologia integral y ortodoncia,524461319916,524461319916,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Hospital Veterinario Narvarte,hospital veterinario narvarte,525555382388,525555382388,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Dream Pets,dream pets,525561143300,525561143300,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Clínica Veterinaria Coyoacán,clinica veterinaria coyoacan,525556883177,525556883177,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Hospital Veterinario Providencia,hospital veterinario providencia,523336401037,523336401037,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Vetleaf Veterinaria y Estética,vetleaf veterinaria y estetica,523343559053,523343559053,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Dr. Neguib Villavicencio Raful,dr neguib villavicencio raful,525566126068,525566126068,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,NUTRIÓLOGA Brenda Núñez,nutriologa brenda nunez,525514986180,525514986180,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Fisioterapia/ rehabilitacion/terapia física y estimulación temprana Dra. Yaqui Ortega,fisioterapia rehabilitacion terapia fisica y estimulacion temprana dra yaqui ortega,524521694879,524521694879,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Clínica Veterinaria Dr. Cabrera,clinica veterinaria dr cabrera,528180408089,528180408089,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Dental Valle Juriquilla,dental valle juriquilla,527295245000,527295245000,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Clínica Like U,clinica like u,524423172951,524423172951,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Clínica Dermo Estética Dr. Rapha,clinica dermo estetica dr rapha,524461420976,524461420976,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,BeautyFull Medicina Estetica,beautyfull medicina estetica,525516291792,525516291792,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Acéntua Medicina Estética,acentua medicina estetica,528126294242,528126294242,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Casa del Arquitecto,casa del arquitecto,525552116051,525552116051,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Fisioterapia y Rehabilitación Vertiz Narvarte,fisioterapia y rehabilitacion vertiz narvarte,525518593073,525518593073,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,Psicame. Psicóloga,psicame psicologa,524421193848,524421193848,,,
/Users/rubenalcantar/Downloads/nexo-local-studio/outreach/backups/phone_verification_report.before_number_verification.csv,"Mover-T, Clínica de Fisioterapia Integral",mover t clinica de fisioterapia integral,525570422895,525570422895,,,
