business_name,city,zone,reason,matched_existing_record,matched_source_file
Toks,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556591704,deduplication_index.csv
El Samurai,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555231469,deduplication_index.csv
Suntory,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555369432,deduplication_index.csv
Potzolcalli,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556585007,deduplication_index.csv
Konditori,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525585000852,deduplication_index.csv
El Fogoncito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556617603,deduplication_index.csv
Nagaoka,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555439530,deduplication_index.csv
Vips,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525557403198,deduplication_index.csv
Haru Maki,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555546454,deduplication_index.csv
Happy's Pizza,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555545122,deduplication_index.csv
O'Xacobeo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555118356,deduplication_index.csv
Pizza Hut,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552433443,deduplication_index.csv
Wings,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552430328,deduplication_index.csv
Frankfurt,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552560767,deduplication_index.csv
Specia,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555641367,deduplication_index.csv
Taquería El Huequito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,taqueria el huequito,deduplication_index.csv
Toks,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556887653,deduplication_index.csv
La Tavola,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555437360,deduplication_index.csv
Casa de Pepe,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555638564,deduplication_index.csv
Ruben's Hamburgers Insurgentes,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556825341,deduplication_index.csv
Deigo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556056317,deduplication_index.csv
El Rincón del Parque,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556056831,deduplication_index.csv
Pizzas Plaza Coyoacán,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555547057,deduplication_index.csv
El Tizoncito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555547712,deduplication_index.csv
Unidad de Medicina Familiar 28 Del Valle,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555596100,deduplication_index.csv
Garabatos Insurgentes,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555439448,deduplication_index.csv
