business_name,country,city,zone,reason,matched_existing_record,matched_source_file,source_url
La Grange Churrascaria,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://lagrangechurrascaria.com/,,https://www.openstreetmap.org/node/13670416948
Caracol de Mar,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://caracoldemar.com.mx,,https://www.openstreetmap.org/node/13994161401
Los Hidalgos | Lázaro Cárdenas,Mexico,San Pedro Garza García,San Pedro/Valle Oriente/Centrito,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.loshidalgos.mx/,,https://www.openstreetmap.org/node/13988253443
Santa Bárbara,Mexico,San Pedro Garza García,San Pedro/Valle Oriente/Centrito,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.santabarbaragrill.com/,,https://www.openstreetmap.org/node/13988269918
El Gaucho de Monterrey,Mexico,San Pedro Garza García,San Pedro/Valle Oriente/Centrito,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.restaurantelgaucho.com/,,https://www.openstreetmap.org/node/13988283842
Monterrey query,Mexico,Monterrey,San Jerónimo/Cumbres,Overpass query failed: Overpass request failed: The read operation timed out,,,
Zapopan query,Mexico,Zapopan,Andares/Puerta de Hierro/Valle Real,Overpass query failed: Overpass request failed: The read operation timed out,,,
Querétaro query,Mexico,Querétaro,Juriquilla/Jurica/Álamos/Centro Sur,Overpass query failed: Overpass request failed: The read operation timed out,,,
Siqueff,Mexico,Mérida,Mérida Norte/Altabrisa/Montebello/Temozón,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/14007824543
Hong Kong,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.hkexpress.mx/,,https://www.openstreetmap.org/node/2208023740
Salus y Chemo's,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4213593731
Cancun Smile,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4431666848
Smart Kitchen,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4991425621
El Poblano,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://elpoblano.restaurantwebexperts.com/,,https://www.openstreetmap.org/node/5024492722
La Parrilla,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://laparrilla.com.mx/?utm_source=google&utm_medium=mybusiness,,https://www.openstreetmap.org/node/5061324423
7x7 Jugos. Tacos. Licuados,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/6238678985
La Dolce Vita,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.ladolcevita.com/,,https://www.openstreetmap.org/node/6399714286
Casa de los Abuelos,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://casadelosabuelos.com.mx/,,https://www.openstreetmap.org/node/6465840104
El Socio Naiz,Mexico,Cancún,Zona Hotelera/Cumbres/Av. Bonampak,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,http://www.socionaiz.com/,,https://www.openstreetmap.org/node/9287292717
