business_name,niche,country,city,zone,original_phone,normalized_phone,phone_status,phone_source,source_confidence,source_url,google_maps_url,website_status,source_issue,recommended_action
CADEVI,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 4069 2133,525540692133,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/9736055330,https://www.google.com/maps/search/?api=1&query=CADEVI%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Maternidad Santisima Trinidad,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5301 8930,525553018930,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12519382118,https://www.google.com/maps/search/?api=1&query=Maternidad%20Santisima%20Trinidad%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Clinica San Martin De Porres,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 3269 7565,525532697565,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12523337894,https://www.google.com/maps/search/?api=1&query=Clinica%20San%20Martin%20De%20Porres%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Consultorio dental estética,Dental,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 2641 6589,525526416589,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12525411271,https://www.google.com/maps/search/?api=1&query=Consultorio%20dental%20est%C3%A9tica%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Consultorio Dental Armenta,Dental,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 2657 8032,525526578032,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12526741736,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Armenta%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Campos,Dental,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5530 7843,525555307843,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12528356157,https://www.google.com/maps/search/?api=1&query=Campos%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Consultorio Medico El Divino Redentor,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5300 3102,525553003102,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12536918221,https://www.google.com/maps/search/?api=1&query=Consultorio%20Medico%20El%20Divino%20Redentor%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Clinica Milenium,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5304 2495,525553042495,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12540698469,https://www.google.com/maps/search/?api=1&query=Clinica%20Milenium%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Consultorio dental Nami,Dental,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 3552 1501,525535521501,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12544857678,https://www.google.com/maps/search/?api=1&query=Consultorio%20dental%20Nami%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
Clinica de unidad médica integral,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5304 1280,525553041280,valid_format_only,OpenStreetMap phone/contact:phone tag,medium,https://www.openstreetmap.org/node/12545705220,https://www.google.com/maps/search/?api=1&query=Clinica%20de%20unidad%20m%C3%A9dica%20integral%20Ciudad%20de%20M%C3%A9xico%20Mexico,No website found,valid_format_only; WhatsApp existence not yet verified,Run campaign03_verify_whatsapp.py before sending.
