business_name,niche,country,city,zone,phone,normalized_phone,phone_status,website_status,website_url,source_url
Toks,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56591704,525556591704,valid_format_only,No website found,,https://www.openstreetmap.org/node/293208350
El Samurai,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5523 1469,525555231469,valid_format_only,No website found,,https://www.openstreetmap.org/node/473196178
Suntory,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55369432,525555369432,valid_format_only,No website found,,https://www.openstreetmap.org/node/473513012
Potzolcalli,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56585007;+52 55 55541235,525556585007,valid_format_only,No website found,,https://www.openstreetmap.org/node/837150046
Konditori,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 85000852,525585000852,valid_format_only,No website found,,https://www.openstreetmap.org/node/837157171
El Fogoncito,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56617603,525556617603,valid_format_only,No website found,,https://www.openstreetmap.org/node/837167440
Nagaoka,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55439530,525555439530,valid_format_only,No website found,,https://www.openstreetmap.org/node/842889545
Vips,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 57403198,525557403198,valid_format_only,No website found,,https://www.openstreetmap.org/node/844359663
Haru Maki,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55546454,525555546454,valid_format_only,No website found,,https://www.openstreetmap.org/node/845526633
Happy's Pizza,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55545122,525555545122,valid_format_only,No website found,,https://www.openstreetmap.org/node/845526635
O'Xacobeo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5511 8356,525555118356,valid_format_only,Only Instagram/Facebook,https://www.facebook.com/oxacobeo.restaurante/,https://www.openstreetmap.org/node/850383273
Pizza Hut,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 52433443;+52 55 52433020,525552433443,valid_format_only,No website found,,https://www.openstreetmap.org/node/876600163
Wings,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 52430328,525552430328,valid_format_only,No website found,,https://www.openstreetmap.org/node/876600197
Frankfurt,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5256 0767,525552560767,valid_format_only,No website found,,https://www.openstreetmap.org/node/906071250
Specia,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5564 1367,525555641367,valid_format_only,No website found,,https://www.openstreetmap.org/node/906320976
Taquería El Huequito,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,5598-9027,,invalid_phone,Modern/official website found,https://www.elhuequito.com.mx/,https://www.openstreetmap.org/node/994311271
Toks,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56887653; +52 55 56887638,525556887653,valid_format_only,Modern/official website found,https://www.toks.com.mx/,https://www.openstreetmap.org/node/1127523692
La Tavola,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55437360,525555437360,valid_format_only,No website found,,https://www.openstreetmap.org/node/1131791211
Casa de Pepe,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55638564;+52 55 55984518,525555638564,valid_format_only,Modern/official website found,http://www.potzollcalli.com.mx/,https://www.openstreetmap.org/node/1131791222
Ruben's Hamburgers Insurgentes,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56825341; +52 55 56825343,525556825341,valid_format_only,No website found,,https://www.openstreetmap.org/node/1131791270
Deigo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56056317,525556056317,valid_format_only,No website found,,https://www.openstreetmap.org/node/1152532795
El Rincón del Parque,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56056831,525556056831,valid_format_only,No website found,,https://www.openstreetmap.org/node/1152532797
Pizzas Plaza Coyoacán,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55547057,525555547057,valid_format_only,No website found,,https://www.openstreetmap.org/node/1156051098
