business_name,niche,city,zone,original_phone,normalized_phone,phone_source,google_maps_url,website_url,instagram,source_confidence,source_issue,recommended_action
Medical Glamour Polanco,Clínica estética,CDMX,Polanco,55 2763 4703,525527634703,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Medical%20Glamour%20Polanco%20Av%20Moliere%20107-2do%20piso%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Dra. Shirley De Brito,Dental,CDMX,Polanco,55 1474 4809,525514744809,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Dra.%20Shirley%20De%20Brito%20Av.%20Ej%C3%A9rcito%20Nacional%20Mexicano%201112-801%20dentista%20Polanco%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
"Dentista Juriquilla, Querétaro",Dental,Querétaro,Juriquilla,55 4943 8421,525549438421,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Dentista%20Juriquilla%2C%20Quer%C3%A9taro%20Blvd.%20Jurica%20la%20Campana%20903%20dentista%20Juriquilla%20Quer%C3%A9taro,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Dentar Odontología Integral y Ortodoncia,Dental,Querétaro,Juriquilla,446 131 9916,524461319916,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia%20Av.%20de%20las%20Ciencias%202070%20dentista%20Juriquilla%20Quer%C3%A9taro,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Hospital Veterinario Narvarte,Veterinaria,CDMX,Narvarte,55 5538 2388,525555382388,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Narvarte%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20560%20veterinaria%20Narvarte%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Dream Pets,Veterinaria,CDMX,Narvarte,55 6114 3300,525561143300,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Dream%20Pets%20Diag.%20San%20Antonio%20911-interior%201%20veterinaria%20Narvarte%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Clínica Veterinaria Coyoacán,Veterinaria,CDMX,Coyoacán,55 5688 3177,525556883177,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n%20Av.%20Divisi%C3%B3n%20del%20Nte.%202638-segundo%20piso%20veterinaria%20Coyoac%C3%A1n%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Hospital Veterinario Providencia,Veterinaria,Guadalajara,Providencia,33 3640 1037,523336401037,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Providencia%20%EF%95%8A%20%C2%B7%20Av.%20Manuel%20Acu%C3%B1a%202549%20veterinaria%20Providencia%20Guadalajara,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Vetleaf Veterinaria y Estética,Veterinaria,Guadalajara,Providencia,33 4355 9053,523343559053,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Vetleaf%20Veterinaria%20y%20Est%C3%A9tica%20C.%20Goya%20621%20veterinaria%20Providencia%20Guadalajara,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Dr. Neguib Villavicencio Raful,Dental,Querétaro,Juriquilla,55 6612 6068,525566126068,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Dr.%20Neguib%20Villavicencio%20Raful%20World%20Trade%20Center%2C%20Torre%20M%C3%A9dica%20Momentum%2C%20P.%C2%BA%20de%20la%20Rep%C3%BAblica%2013020%20dentista%20Juriquilla%20Quer%C3%A9taro,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
NUTRIÓLOGA Brenda Núñez,Nutrición premium,CDMX,Condesa,55 1498 6180,525514986180,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=NUTRI%C3%93LOGA%20Brenda%20N%C3%BA%C3%B1ez%20C.%20Chilpancingo%2051%20nutri%C3%B3loga%20Condesa%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Fisioterapia/ rehabilitacion/terapia física y estimulación temprana Dra. Yaqui Ortega,Fisioterapia,CDMX,Coyoacán,452 169 4879,524521694879,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Fisioterapia%2F%20rehabilitacion%2Fterapia%20f%C3%ADsica%20y%20estimulaci%C3%B3n%20temprana%20Dra.%20Yaqui%20Ortega%20Av.%20Coyoac%C3%A1n%201878-consultorio%201402%20fisioterapia%20Coyoac%C3%A1n%20CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Clínica Veterinaria Dr. Cabrera,Veterinaria,San Pedro Garza García,San Pedro,81 8040 8089,528180408089,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Dr.%20Cabrera%20%EF%95%8A%20%C2%B7%20Lazaro%20Garza%20Ayala%20155%2C%20entre%20Lic.%20Benito%20Juarez%20Sur%20y%20Morelos%20veterinaria%20San%20Pedro%20Garza%20Garc%C3%ADa,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Dental Valle Juriquilla,Dental,Querétaro,Juriquilla,729 524 5000,527295245000,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Dental%20Valle%20Juriquilla%20Av.%20los%20Portones%201151-local%206%20dentista%20Juriquilla%20Quer%C3%A9taro,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
