business_name,niche,city,zone,original_phone,normalized_phone,phone_source,google_maps_url,website_url,instagram,source_confidence,source_issue,recommended_action
El Samurai,Restaurante boutique,CDMX,Del Valle,55 5523 1469,525555231469,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=El+Samurai+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Konditori,Restaurante boutique,CDMX,Del Valle,+52 55 85000852,525585000852,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Konditori+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Nagaoka,Restaurante boutique,CDMX,Del Valle,+52 55 55439530,525555439530,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Nagaoka+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Frankfurt,Restaurante boutique,CDMX,Roma-Condesa,55-5256-0767,525552560767,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Frankfurt+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Specia,Restaurante boutique,CDMX,Roma-Condesa,55-5564-1367,525555641367,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Specia+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
La Tavola,Restaurante boutique,CDMX,Del Valle,+52 55 55437360,525555437360,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=La+Tavola+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Ruben's Hamburgers Insurgentes,Restaurante boutique,CDMX,Insurgentes,+52 55 56825341,525556825341,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Rubens+Hamburgers+Insurgentes,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Deigo,Restaurante boutique,CDMX,Del Valle,+52 55 56056317,525556056317,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Deigo+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
El Rincón del Parque,Restaurante boutique,CDMX,Del Valle,+52 55 56056831,525556056831,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=El+Rincon+del+Parque+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Garabatos Insurgentes,Restaurante boutique,CDMX,Insurgentes,+52 55 55439448,525555439448,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Garabatos+Insurgentes,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
El Sheik,Restaurante boutique,CDMX,Del Valle,+52 55 56593311,525556593311,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=El+Sheik+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
COBA FONDA YUCATECA,Restaurante boutique,CDMX,Del Valle,+52 55 6395 9961,525563959961,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=COBA+FONDA+YUCATECA+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Marina Bistro,Restaurante boutique,CDMX,Del Valle,+52 55 55754014,525555754014,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Marina+Bistro+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Bistro Cheny,Restaurante boutique,CDMX,Del Valle,55 5523 9908,525555239908,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Bistro+Cheny+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Chester's,Restaurante boutique,CDMX,Del Valle,55 5688 2400,525556882400,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Chesters+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Ramen-ya,Restaurante boutique,CDMX,Del Valle,55 5559 1495,525555591495,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Ramen-ya+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Un Rincon de Chile,Restaurante boutique,CDMX,Del Valle,55 5524 4039,525555244039,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Un+Rincon+de+Chile+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Restaurante El Amaranto,Restaurante boutique,CDMX,Del Valle,55 5539 5074,525555395074,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Restaurante+El+Amaranto+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Paradiso Gourmet,Restaurante boutique,CDMX,Polanco-Lomas,+52 55 5280 5902,525552805902,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Paradiso+Gourmet+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Angelopolitano,Restaurante boutique,CDMX,Roma-Condesa,5563912121,525563912121,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Angelopolitano+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Guzina Oaxaca,Restaurante boutique,CDMX,Polanco,5552821820,525552821820,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Guzina+Oaxaca+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
La Buena Barra,Restaurante boutique,CDMX,Polanco,5552806699,525552806699,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=La+Buena+Barra+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Publico,Restaurante boutique,CDMX,Polanco,5540001288,525540001288,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Publico+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Testal,Restaurante boutique,CDMX,Centro-Roma,+525555101358,525555101358,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Testal+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Mina la Antigua,Restaurante boutique,Guadalajara,Colonia Americana-Providencia,+52 33 2315 2430,523323152430,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Mina+la+Antigua+Guadalajara,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Alta Fibra,Restaurante boutique,Guadalajara,Colonia Americana-Providencia,+52 33 3124 1510,523331241510,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Alta+Fibra+Guadalajara,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Servicios Veterinarios Rodríguez,Veterinaria,CDMX,Cuauhtémoc,+5215555839768,525555839768,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Servicios+Veterinarios+Rodriguez+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Centro Veterinario Norte,Veterinaria,CDMX,Peralvillo,+5215555173665,525555173665,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Centro+Veterinario+Norte+CDMX,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Caninos & Felinos,Veterinaria,Guadalajara,Zapopan,+52 33 31241227,523331241227,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Caninos+Felinos+Zapopan,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
Núcleo Médico Copérnico,Clínica estética,Guadalajara,Zapopan,+52 33 36281590,523336281590,public_business_phone_field,https://www.google.com/maps/search/?api=1&query=Nucleo+Medico+Copernico+Zapopan,,,high,valid_format_only,Pasar a verificación manual de WhatsApp.
