priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,website_url,google_maps_url,phone,email,instagram,contact_person,problem_detected,demo_url,homepage_url,first_message,verification_notes,last_checked
B,8,El Samurai,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=El+Samurai+CDMX,55 5523 1469,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Konditori,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Konditori+CDMX,+52 55 85000852,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Nagaoka,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Nagaoka+CDMX,+52 55 55439530,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Frankfurt,Restaurante boutique,CDMX,Roma-Condesa,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Frankfurt+CDMX,55-5256-0767,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Specia,Restaurante boutique,CDMX,Roma-Condesa,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Specia+CDMX,55-5564-1367,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,La Tavola,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=La+Tavola+CDMX,+52 55 55437360,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Ruben's Hamburgers Insurgentes,Restaurante boutique,CDMX,Insurgentes,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Rubens+Hamburgers+Insurgentes,+52 55 56825341,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Deigo,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Deigo+CDMX,+52 55 56056317,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,El Rincón del Parque,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=El+Rincon+del+Parque+CDMX,+52 55 56056831,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Garabatos Insurgentes,Restaurante boutique,CDMX,Insurgentes,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Garabatos+Insurgentes,+52 55 55439448,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,El Sheik,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=El+Sheik+CDMX,+52 55 56593311,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,COBA FONDA YUCATECA,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=COBA+FONDA+YUCATECA+CDMX,+52 55 6395 9961,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Marina Bistro,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Marina+Bistro+CDMX,+52 55 55754014,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Bistro Cheny,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Bistro+Cheny+CDMX,55 5523 9908,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Chester's,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Chesters+CDMX,55 5688 2400,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
B,8,Ramen-ya,Restaurante boutique,CDMX,Del Valle,,,"No website tag found in OpenStreetMap",,https://www.google.com/maps/search/?api=1&query=Ramen-ya+CDMX,55 5559 1495,,,No público,Teléfono público y sin website registrado en OSM,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.,2026-06-17
