priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,problem_detected,phone,normalized_phone,phone_status,instagram,google_maps_url,demo_url,homepage_url,contact_person,status,notes
A+,16,Medical Glamour Polanco,Clínica estética,CDMX,Polanco,4.9,216,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 2763 4703,525527634703,valid_phone,,https://www.google.com/maps/search/?api=1&query=Medical%20Glamour%20Polanco%20Av%20Moliere%20107-2do%20piso%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial ni botón de sitio web; negocio con reputación alta en zona premium.
A+,16,Dra. Shirley De Brito,Dental,CDMX,Polanco,4.9,102,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 1474 4809,525514744809,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dra.%20Shirley%20De%20Brito%20Av.%20Ej%C3%A9rcito%20Nacional%20Mexicano%201112-801%20dentista%20Polanco%20CDMX,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,Dra. Shirley De Brito,ready_for_queue,Google Maps detail no mostró dominio oficial; solo enlace tipo WhatsApp/directo como presencia digital.
A+,15,"Dentista Juriquilla, Querétaro",Dental,Querétaro,Juriquilla,5,197,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 4943 8421,525549438421,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dentista%20Juriquilla%2C%20Quer%C3%A9taro%20Blvd.%20Jurica%20la%20Campana%20903%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; perfil activo con teléfono y reseñas fuertes.
A+,15,Dentar Odontología Integral y Ortodoncia,Dental,Querétaro,Juriquilla,4.9,106,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,446 131 9916,524461319916,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia%20Av.%20de%20las%20Ciencias%202070%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; oportunidad para página clara de servicios y ubicación.
A+,14,Hospital Veterinario Narvarte,Veterinaria,CDMX,Narvarte,4.4,489,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5538 2388,525555382388,valid_phone,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Narvarte%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20560%20veterinaria%20Narvarte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; muchas reseñas y teléfono público.
A+,14,Dream Pets,Veterinaria,CDMX,Narvarte,4.7,342,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 6114 3300,525561143300,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dream%20Pets%20Diag.%20San%20Antonio%20911-interior%201%20veterinaria%20Narvarte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; negocio activo con reputación alta.
A+,14,Clínica Veterinaria Coyoacán,Veterinaria,CDMX,Coyoacán,4.7,306,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5688 3177,525556883177,valid_phone,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n%20Av.%20Divisi%C3%B3n%20del%20Nte.%202638-segundo%20piso%20veterinaria%20Coyoac%C3%A1n%20CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; fuerte presencia local sin sitio claro enlazado.
A+,14,Hospital Veterinario Providencia,Veterinaria,Guadalajara,Providencia,4.7,245,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,33 3640 1037,523336401037,valid_phone,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Providencia%20%EF%95%8A%20%C2%B7%20Av.%20Manuel%20Acu%C3%B1a%202549%20veterinaria%20Providencia%20Guadalajara,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; reputación fuerte en zona comercial.
A+,14,Vetleaf Veterinaria y Estética,Veterinaria,Guadalajara,Providencia,4.9,238,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,33 4355 9053,523343559053,valid_phone,,https://www.google.com/maps/search/?api=1&query=Vetleaf%20Veterinaria%20y%20Est%C3%A9tica%20C.%20Goya%20621%20veterinaria%20Providencia%20Guadalajara,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; combina veterinaria y estética con alto número de reseñas.
A+,14,Dr. Neguib Villavicencio Raful,Dental,Querétaro,Juriquilla,5,131,Only Instagram/Facebook found,Solo se observó presencia social/directorio en el detalle de Maps; no se detectó dominio oficial.,55 6612 6068,525566126068,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dr.%20Neguib%20Villavicencio%20Raful%20World%20Trade%20Center%2C%20Torre%20M%C3%A9dica%20Momentum%2C%20P.%C2%BA%20de%20la%20Rep%C3%BAblica%2013020%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,Dr. Neguib Villavicencio Raful,ready_for_queue,"Google Maps detail no mostró dominio oficial; se observó Instagram como presencia digital, sin sitio propio enlazado."
