priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,problem_detected,phone,original_phone,normalized_phone,phone_status,normalization_notes,is_agency_number,is_duplicate,recommended_action,instagram,google_maps_url,demo_url,homepage_url,contact_person,status,notes
B,8,El Samurai,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5523 1469,55 5523 1469,525555231469,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=El+Samurai+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Konditori,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 85000852,+52 55 85000852,525585000852,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Konditori+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Nagaoka,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 55439530,+52 55 55439530,525555439530,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Nagaoka+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Frankfurt,Restaurante boutique,CDMX,Roma-Condesa,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55-5256-0767,55-5256-0767,525552560767,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Frankfurt+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Specia,Restaurante boutique,CDMX,Roma-Condesa,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55-5564-1367,55-5564-1367,525555641367,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Specia+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,La Tavola,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 55437360,+52 55 55437360,525555437360,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=La+Tavola+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Ruben's Hamburgers Insurgentes,Restaurante boutique,CDMX,Insurgentes,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 56825341,+52 55 56825341,525556825341,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Rubens+Hamburgers+Insurgentes,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Deigo,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 56056317,+52 55 56056317,525556056317,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Deigo+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,El Rincón del Parque,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 56056831,+52 55 56056831,525556056831,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=El+Rincon+del+Parque+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Garabatos Insurgentes,Restaurante boutique,CDMX,Insurgentes,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 55439448,+52 55 55439448,525555439448,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Garabatos+Insurgentes,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,El Sheik,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 56593311,+52 55 56593311,525556593311,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=El+Sheik+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,COBA FONDA YUCATECA,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 6395 9961,+52 55 6395 9961,525563959961,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=COBA+FONDA+YUCATECA+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Marina Bistro,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 55754014,+52 55 55754014,525555754014,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Marina+Bistro+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Bistro Cheny,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5523 9908,55 5523 9908,525555239908,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Bistro+Cheny+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Chester's,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5688 2400,55 5688 2400,525556882400,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Chesters+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Ramen-ya,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5559 1495,55 5559 1495,525555591495,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Ramen-ya+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
