verification_status,business_name,niche,city,zone,original_phone,normalized_phone,wa_check_url,google_maps_url,phone_source,source_confidence,notes,verified_at,verification_notes
pending_manual_check,Medical Glamour Polanco,Clínica estética,CDMX,Polanco,55 2763 4703,525527634703,https://wa.me/525527634703,https://www.google.com/maps/search/?api=1&query=Medical%20Glamour%20Polanco%20Av%20Moliere%20107-2do%20piso%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial ni botón de sitio web; negocio con reputación alta en zona premium.,,
pending_manual_check,Dra. Shirley De Brito,Dental,CDMX,Polanco,55 1474 4809,525514744809,https://wa.me/525514744809,https://www.google.com/maps/search/?api=1&query=Dra.%20Shirley%20De%20Brito%20Av.%20Ej%C3%A9rcito%20Nacional%20Mexicano%201112-801%20dentista%20Polanco%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; solo enlace tipo WhatsApp/directo como presencia digital.,,
pending_manual_check,"Dentista Juriquilla, Querétaro",Dental,Querétaro,Juriquilla,55 4943 8421,525549438421,https://wa.me/525549438421,https://www.google.com/maps/search/?api=1&query=Dentista%20Juriquilla%2C%20Quer%C3%A9taro%20Blvd.%20Jurica%20la%20Campana%20903%20dentista%20Juriquilla%20Quer%C3%A9taro,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; perfil activo con teléfono y reseñas fuertes.,,
pending_manual_check,Dentar Odontología Integral y Ortodoncia,Dental,Querétaro,Juriquilla,446 131 9916,524461319916,https://wa.me/524461319916,https://www.google.com/maps/search/?api=1&query=Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia%20Av.%20de%20las%20Ciencias%202070%20dentista%20Juriquilla%20Quer%C3%A9taro,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; oportunidad para página clara de servicios y ubicación.,,
pending_manual_check,Hospital Veterinario Narvarte,Veterinaria,CDMX,Narvarte,55 5538 2388,525555382388,https://wa.me/525555382388,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Narvarte%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20560%20veterinaria%20Narvarte%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; muchas reseñas y teléfono público.,,
pending_manual_check,Dream Pets,Veterinaria,CDMX,Narvarte,55 6114 3300,525561143300,https://wa.me/525561143300,https://www.google.com/maps/search/?api=1&query=Dream%20Pets%20Diag.%20San%20Antonio%20911-interior%201%20veterinaria%20Narvarte%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; negocio activo con reputación alta.,,
pending_manual_check,Clínica Veterinaria Coyoacán,Veterinaria,CDMX,Coyoacán,55 5688 3177,525556883177,https://wa.me/525556883177,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n%20Av.%20Divisi%C3%B3n%20del%20Nte.%202638-segundo%20piso%20veterinaria%20Coyoac%C3%A1n%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; fuerte presencia local sin sitio claro enlazado.,,
pending_manual_check,Hospital Veterinario Providencia,Veterinaria,Guadalajara,Providencia,33 3640 1037,523336401037,https://wa.me/523336401037,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Providencia%20%EF%95%8A%20%C2%B7%20Av.%20Manuel%20Acu%C3%B1a%202549%20veterinaria%20Providencia%20Guadalajara,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; reputación fuerte en zona comercial.,,
pending_manual_check,Vetleaf Veterinaria y Estética,Veterinaria,Guadalajara,Providencia,33 4355 9053,523343559053,https://wa.me/523343559053,https://www.google.com/maps/search/?api=1&query=Vetleaf%20Veterinaria%20y%20Est%C3%A9tica%20C.%20Goya%20621%20veterinaria%20Providencia%20Guadalajara,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; combina veterinaria y estética con alto número de reseñas.,,
pending_manual_check,Dr. Neguib Villavicencio Raful,Dental,Querétaro,Juriquilla,55 6612 6068,525566126068,https://wa.me/525566126068,https://www.google.com/maps/search/?api=1&query=Dr.%20Neguib%20Villavicencio%20Raful%20World%20Trade%20Center%2C%20Torre%20M%C3%A9dica%20Momentum%2C%20P.%C2%BA%20de%20la%20Rep%C3%BAblica%2013020%20dentista%20Juriquilla%20Quer%C3%A9taro,public_business_phone_field,medium,"Google Maps detail no mostró dominio oficial; se observó Instagram como presencia digital, sin sitio propio enlazado.",,
pending_manual_check,NUTRIÓLOGA Brenda Núñez,Nutrición premium,CDMX,Condesa,55 1498 6180,525514986180,https://wa.me/525514986180,https://www.google.com/maps/search/?api=1&query=NUTRI%C3%93LOGA%20Brenda%20N%C3%BA%C3%B1ez%20C.%20Chilpancingo%2051%20nutri%C3%B3loga%20Condesa%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; reputación fuerte y servicio profesional de alto valor.,,
pending_manual_check,Fisioterapia/ rehabilitacion/terapia física y estimulación temprana Dra. Yaqui Ortega,Fisioterapia,CDMX,Coyoacán,452 169 4879,524521694879,https://wa.me/524521694879,https://www.google.com/maps/search/?api=1&query=Fisioterapia%2F%20rehabilitacion%2Fterapia%20f%C3%ADsica%20y%20estimulaci%C3%B3n%20temprana%20Dra.%20Yaqui%20Ortega%20Av.%20Coyoac%C3%A1n%201878-consultorio%201402%20fisioterapia%20Coyoac%C3%A1n%20CDMX,public_business_phone_field,medium,Google Maps detail no mostró dominio oficial; perfil profesional con reseñas sólidas y teléfono público.,,
